Glenn County, California, Precipitation
195811,0.37,-2.69
195812,1.50,-3.21
195901,7.15,1.99
195902,6.33,1.67
195903,0.53,-2.99
195904,0.73,-0.95
195905,0.12,-0.73
195906,0.01,-0.40
195907,0.00,-0.03
195908,0.26,0.19
195909,1.74,1.36
195910,0.01,-1.33
195911,0.01,-3.05
195912,2.09,-2.62
196001,5.53,0.37
196002,5.67,1.01
196003,3.25,-0.27
196004,1.74,0.06
196005,0.85,0.00
196006,0.00,-0.41
196007,0.02,-0.01
196008,0.00,-0.07
196009,0.03,-0.35
196010,0.41,-0.93
196011,5.07,2.01
196012,4.92,0.21
196101,4.42,-0.74
196102,3.15,-1.51
196103,3.20,-0.32
196104,0.73,-0.95
196105,0.54,-0.31
196106,0.27,-0.14
196107,0.03,0.00
196108,0.21,0.14
196109,0.64,0.26
196110,0.28,-1.06
196111,3.88,0.82
196112,3.95,-0.76
196201,1.35,-3.81
196202,8.18,3.52
196203,3.85,0.33
196204,0.31,-1.37
196205,0.46,-0.39
196206,0.36,-0.05
196207,0.00,-0.03
196208,0.24,0.17
196209,0.38,0.00
196210,5.97,4.63
196211,1.33,-1.73
196212,3.38,-1.33
196301,3.89,-1.27
196302,4.46,-0.20
196303,4.17,0.65
196304,4.84,3.16
196305,0.89,0.04
196306,0.24,-0.17
196307,0.00,-0.03
196308,0.00,-0.07
196309,0.03,-0.35
196310,2.33,0.99
196311,5.81,2.75
196312,0.76,-3.95
196401,2.89,-2.27
196402,0.07,-4.59
196403,1.71,-1.81
196404,0.24,-1.44
196405,0.40,-0.45
196406,0.64,0.23
196407,0.04,0.01
196408,0.01,-0.06
196409,0.59,0.21
196410,2.19,0.85
196411,6.82,3.76
196412,7.04,2.33
196501,5.46,0.30
196502,0.90,-3.76
196503,1.53,-1.99
196504,5.21,3.53
196505,0.12,-0.73
196506,0.08,-0.33
196507,0.01,-0.02
196508,0.54,0.47
196509,0.01,-0.37
196510,0.03,-1.31
196511,8.13,5.07
196512,2.40,-2.31
196601,4.41,-0.75
196602,3.80,-0.86
196603,0.80,-2.72
196604,0.51,-1.17
196605,0.15,-0.70
196606,0.03,-0.38
196607,0.01,-0.02
196608,0.26,0.19
196609,0.26,-0.12
196610,0.00,-1.34
196611,7.44,4.38
196612,4.28,-0.43
196701,8.38,3.22
196702,0.40,-4.26
196703,4.22,0.70
196704,5.05,3.37
196705,0.13,-0.72
196706,1.96,1.55
196707,0.02,-0.01
196708,0.15,0.08
196709,0.14,-0.24
196710,0.57,-0.77
196711,2.44,-0.62
196712,3.10,-1.61
196801,7.42,2.26
196802,5.17,0.51
196803,1.96,-1.56
196804,0.47,-1.21
196805,0.68,-0.17
196806,0.37,-0.04
196807,0.00,-0.03
196808,0.50,0.43
196809,0.02,-0.36
196810,1.01,-0.33
196811,3.59,0.53
196812,8.30,3.59
196901,8.18,3.02
196902,9.56,4.90
196903,2.25,-1.27
196904,1.19,-0.49
196905,0.02,-0.83
196906,0.54,0.13
196907,0.01,-0.02
196908,0.00,-0.07
196909,0.01,-0.37
196910,1.54,0.20
196911,0.88,-2.18
196912,8.82,4.11
197001,11.93,6.77
197002,2.43,-2.23
197003,2.54,-0.98
197004,0.32,-1.36
197005,0.04,-0.81
197006,0.61,0.20
197007,0.00,-0.03
197008,0.00,-0.07
197009,0.00,-0.38
197010,1.17,-0.17
197011,8.99,5.93
197012,6.10,1.39
197101,3.09,-2.07
197102,0.09,-4.57
197103,3.53,0.01
197104,0.45,-1.23
197105,1.18,0.33
197106,0.14,-0.27
197107,0.03,0.00
197108,0.04,-0.03
197109,0.16,-0.22
197110,0.31,-1.03
197111,2.04,-1.02
197112,5.01,0.30
197201,1.50,-3.66
197202,1.81,-2.85
197203,0.42,-3.10
197204,1.19,-0.49
197205,0.89,0.04
197206,0.19,-0.22
197207,0.00,-0.03
197208,0.02,-0.05
197209,0.66,0.28
197210,3.39,2.05
197211,7.08,4.02
197212,3.87,-0.84
197301,9.67,4.51
197302,9.19,4.53
197303,4.03,0.51
197304,0.14,-1.54
197305,0.27,-0.58
197306,0.07,-0.34
197307,0.00,-0.03
197308,0.00,-0.07
197309,0.23,-0.15
197310,2.55,1.21
197311,8.59,5.53
197312,5.09,0.38
197401,4.94,-0.22
197402,1.47,-3.19
197403,5.53,2.01
197404,1.61,-0.07
197405,0.12,-0.73
197406,0.37,-0.04
197407,0.27,0.24
197408,0.14,0.07
197409,0.00,-0.38
197410,1.67,0.33
197411,0.66,-2.40
197412,5.81,1.10
197501,1.02,-4.14
197502,7.70,3.04
197503,7.88,4.36
197504,1.25,-0.43
197505,0.02,-0.83
197506,0.01,-0.40
197507,0.26,0.23
197508,0.36,0.29
197509,0.02,-0.36
197510,3.11,1.77
197511,0.72,-2.34
197512,1.14,-3.57
197601,0.28,-4.88
197602,1.29,-3.37
197603,1.31,-2.21
197604,2.03,0.35
197605,0.01,-0.84
197606,0.21,-0.20
197607,0.03,0.00
197608,0.54,0.47
197609,0.63,0.25
197610,0.40,-0.94
197611,0.92,-2.14
197612,0.87,-3.84
197701,2.14,-3.02
197702,1.37,-3.29
197703,2.67,-0.85
197704,0.18,-1.50
197705,2.25,1.40
197706,0.01,-0.40
197707,0.09,0.06
197708,0.02,-0.05
197709,0.84,0.46
197710,0.37,-0.97
197711,3.24,0.18
197712,5.99,1.28
197801,12.31,7.15
197802,7.09,2.43
197803,5.96,2.44
197804,3.52,1.84
197805,0.18,-0.67
197806,0.05,-0.36
197807,0.00,-0.03
197808,0.01,-0.06
197809,1.01,0.63
197810,0.00,-1.34
197811,1.55,-1.51
197812,0.53,-4.18
197901,7.00,1.84
197902,6.08,1.42
197903,3.29,-0.23
197904,2.03,0.35
197905,0.40,-0.45
197906,0.01,-0.40
197907,0.01,-0.02
197908,0.22,0.15
197909,0.46,0.08
197910,2.60,1.26
197911,4.90,1.84
197912,6.15,1.44
198001,4.34,-0.82
198002,10.46,5.80
198003,2.09,-1.43
198004,1.49,-0.19
198005,0.77,-0.08
198006,0.63,0.22
198007,0.07,0.04
198008,0.00,-0.07
198009,0.20,-0.18
198010,0.54,-0.80
198011,0.38,-2.68
198012,4.38,-0.33
198101,8.12,2.96
198102,1.96,-2.70
198103,4.38,0.86
198104,1.54,-0.14
198105,0.84,-0.01
198106,0.00,-0.41
198107,0.01,-0.02
198108,0.00,-0.07
198109,0.77,0.39
198110,3.56,2.22
198111,7.43,4.37
198112,5.94,1.23
198201,5.14,-0.02
198202,2.25,-2.41
198203,5.65,2.13
198204,2.28,0.60
198205,0.02,-0.83
198206,1.06,0.65
198207,0.04,0.01
198208,0.07,0.00
198209,1.06,0.68
198210,4.35,3.01
198211,6.07,3.01
198212,4.95,0.24
198301,8.68,3.52
198302,8.95,4.29
198303,13.19,9.67
198304,4.81,3.13
198305,0.56,-0.29
198306,0.32,-0.09
198307,0.07,0.04
198308,0.22,0.15
198309,0.59,0.21
198310,0.79,-0.55
198311,10.74,7.68
198312,13.36,8.65
198401,0.57,-4.59
198402,2.06,-2.60
198403,1.56,-1.96
198404,0.95,-0.73
198405,0.13,-0.72
198406,0.10,-0.31
198407,0.00,-0.03
198408,0.42,0.35
198409,0.22,-0.16
198410,1.77,0.43
198411,9.02,5.96
198412,2.84,-1.87
198501,0.66,-4.50
198502,1.43,-3.23
198503,4.04,0.52
198504,0.42,-1.26
198505,0.08,-0.77
198506,0.05,-0.36
198507,0.00,-0.03
198508,0.09,0.02
198509,1.37,0.99
198510,0.94,-0.40
198511,4.52,1.46
198512,3.26,-1.45
198601,5.69,0.53
198602,11.91,7.25
198603,5.72,2.20
198604,1.25,-0.43
198605,0.33,-0.52
198606,0.02,-0.39
198607,0.03,0.00
198608,0.00,-0.07
198609,0.69,0.31
198610,0.43,-0.91
198611,0.16,-2.90
198612,1.83,-2.88
198701,3.30,-1.86
198702,3.46,-1.20
198703,4.99,1.47
198704,0.09,-1.59
198705,0.14,-0.71
198706,0.00,-0.41
198707,0.15,0.12
198708,0.00,-0.07
198709,0.02,-0.36
198710,1.45,0.11
198711,3.13,0.07
198712,7.23,2.52
198801,6.68,1.52
198802,0.56,-4.10
198803,0.22,-3.30
198804,2.05,0.37
198805,1.36,0.51
198806,0.73,0.32
198807,0.00,-0.03
198808,0.00,-0.07
198809,0.00,-0.38
198810,0.12,-1.22
198811,4.22,1.16
198812,3.07,-1.64
198901,0.90,-4.26
198902,0.69,-3.97
198903,6.44,2.92
198904,0.98,-0.70
198905,0.36,-0.49
198906,0.43,0.02
198907,0.00,-0.03
198908,0.01,-0.06
198909,1.93,1.55
198910,2.44,1.10
198911,0.78,-2.28
198912,0.01,-4.70
199001,4.73,-0.43
199002,1.59,-3.07
199003,1.17,-2.35
199004,0.21,-1.47
199005,2.77,1.92
199006,0.01,-0.40
199007,0.00,-0.03
199008,0.29,0.22
199009,0.26,-0.12
199010,0.37,-0.97
199011,0.60,-2.46
199012,1.15,-3.56
199101,0.51,-4.65
199102,3.41,-1.25
199103,10.83,7.31
199104,0.97,-0.71
199105,0.49,-0.36
199106,0.64,0.23
199107,0.01,-0.02
199108,0.00,-0.07
199109,0.00,-0.38
199110,0.40,-0.94
199111,1.07,-1.99
199112,3.93,-0.78
199201,2.40,-2.76
199202,7.73,3.07
199203,5.52,2.00
199204,1.02,-0.66
199205,0.04,-0.81
199206,1.35,0.94
199207,0.13,0.10
199208,0.00,-0.07
199209,0.00,-0.38
199210,2.41,1.07
199211,0.55,-2.51
199212,7.89,3.18
199301,10.83,5.67
199302,9.60,4.94
199303,1.61,-1.91
199304,1.22,-0.46
199305,2.51,1.66
199306,1.06,0.65
199307,0.00,-0.03
199308,0.02,-0.05
199309,0.00,-0.38
199310,1.25,-0.09
199311,1.97,-1.09
199312,2.52,-2.19
199401,3.05,-2.11
199402,5.53,0.87
199403,0.45,-3.07
199404,2.07,0.39
199405,1.40,0.55
199406,0.01,-0.40
199407,0.00,-0.03
199408,0.00,-0.07
199409,0.02,-0.36
199410,0.84,-0.50
199411,4.10,1.04
199412,3.98,-0.73
199501,22.42,17.26
199502,0.97,-3.69
199503,12.50,8.98
199504,1.46,-0.22
199505,2.40,1.55
199506,0.91,0.50
199507,0.10,0.07
199508,0.00,-0.07
199509,0.00,-0.38
199510,0.00,-1.34
199511,0.04,-3.02
199512,8.11,3.40
199601,6.68,1.52
199602,7.39,2.73
199603,2.95,-0.57
199604,1.95,0.27
199605,2.40,1.55
199606,0.47,0.06
199607,0.00,-0.03
199608,0.00,-0.07
199609,0.20,-0.18
199610,2.05,0.71
199611,3.09,0.03
199612,8.55,3.84
199701,9.04,3.88
199702,0.43,-4.23
199703,2.13,-1.39
199704,0.46,-1.22
199705,0.55,-0.30
199706,0.36,-0.05
199707,0.13,0.10
199708,0.55,0.48
199709,0.32,-0.06
199710,1.07,-0.27
199711,7.52,4.46
199712,3.54,-1.17
199801,9.39,4.23
199802,20.60,15.94
199803,4.26,0.74
199804,3.37,1.69
199805,5.44,4.59
199806,1.39,0.98
199807,0.00,-0.03
199808,0.00,-0.07
199809,0.12,-0.26
199810,1.36,0.02
199811,4.68,1.62
199812,1.59,-3.12
199901,1.50,-3.66
199902,5.43,0.77
199903,4.23,0.71
199904,1.91,0.23
199905,0.06,-0.79
199906,0.88,0.47
199907,0.00,-0.03
199908,0.19,0.12
199909,0.00,-0.38
199910,0.62,-0.72
199911,3.61,0.55
199912,0.43,-4.28
200001,5.77,0.61
200002,8.05,3.39
200003,2.59,-0.93
200004,2.53,0.85
200005,2.09,1.24
200006,0.57,0.16
200007,0.01,-0.02
200008,0.00,-0.07
200009,0.48,0.10
200010,2.91,1.57
200011,1.06,-2.00
200012,0.61,-4.10
200101,6.11,0.95
200102,5.61,0.95
200103,3.61,0.09
200104,1.19,-0.49
200105,0.00,-0.85
200106,0.51,0.10
200107,0.00,-0.03
200108,0.00,-0.07
200109,0.58,0.20
200110,1.24,-0.10
200111,7.57,4.51
200112,8.65,3.94
200201,3.92,-1.24
200202,1.10,-3.56
200203,1.25,-2.27
200204,0.32,-1.36
200205,0.87,0.02
200206,0.00,-0.41
200207,0.01,-0.02
200208,0.00,-0.07
200209,0.01,-0.37
200210,0.00,-1.34
200211,2.70,-0.36
200212,12.82,8.11
200301,4.05,-1.11
200302,2.28,-2.38
200303,2.67,-0.85
200304,4.09,2.41
200305,2.09,1.24
200306,0.00,-0.41
200307,0.04,0.01
200308,0.52,0.45
200309,0.08,-0.30
200310,0.17,-1.17
200311,3.86,0.80
200312,11.39,6.68
200401,3.55,-1.61
200402,8.46,3.80
200403,1.74,-1.78
200404,0.38,-1.30
200405,0.22,-0.63
200406,0.01,-0.40
200407,0.00,-0.03
200408,0.00,-0.07
200409,0.03,-0.35
200410,4.18,2.84
200411,2.69,-0.37
200412,8.85,4.14
200501,6.82,1.66
200502,4.76,0.10
200503,4.26,0.74
200504,1.64,-0.04
200505,3.22,2.37
200506,1.01,0.60
200507,0.00,-0.03
200508,0.00,-0.07
200509,0.11,-0.27
200510,0.52,-0.82
200511,3.38,0.32
200512,12.22,7.51
200601,3.61,-1.55
200602,3.24,-1.42
200603,7.83,4.31
200604,6.75,5.07
200605,1.29,0.44
200606,0.24,-0.17
200607,0.00,-0.03
200608,0.00,-0.07
200609,0.00,-0.38
200610,0.13,-1.21
200611,1.85,-1.21
200612,4.03,-0.68
200701,0.13,-5.03
200702,5.26,0.60
200703,0.36,-3.16
200704,1.49,-0.19
200705,0.43,-0.42
200706,0.10,-0.31
200707,0.19,0.16
200708,0.00,-0.07
200709,0.46,0.08
200710,1.24,-0.10
200711,0.42,-2.64
200712,3.70,-1.01
200801,11.41,6.25
200802,4.12,-0.54
200803,0.12,-3.40
200804,0.26,-1.42
200805,0.47,-0.38
200806,0.01,-0.40
200807,0.00,-0.03
200808,0.01,-0.06
200809,0.05,-0.33
200810,0.87,-0.47
200811,2.75,-0.31
200812,1.90,-2.81
200901,0.78,-4.38
200902,7.99,3.33
200903,2.34,-1.18
200904,0.39,-1.29
200905,1.04,0.19
200906,1.25,0.84
200907,0.00,-0.03
200908,0.04,-0.03
200909,0.12,-0.26
200910,2.80,1.46
200911,0.95,-2.11
200912,3.73,-0.98
201001,10.96,5.80
201002,4.75,0.09
201003,1.71,-1.81
201004,5.09,3.41
201005,1.18,0.33
201006,0.07,-0.34
201007,0.00,-0.03
201008,0.02,-0.05
201009,0.43,0.05
201010,4.23,2.89
201011,2.11,-0.95
201012,6.40,1.69
201101,1.70,-3.46
201102,3.95,-0.71
201103,7.96,4.44
201104,0.41,-1.27
201105,1.84,0.99
201106,1.96,1.55
201107,0.00,-0.03
201108,0.00,-0.07
201109,0.06,-0.32
201110,2.09,0.75
201111,2.44,-0.62
201112,0.14,-4.57
201201,4.64,-0.52
201202,1.60,-3.06
201203,5.27,1.75
201204,2.05,0.37
201205,0.06,-0.79
201206,0.09,-0.32
201207,0.00,-0.03
201208,0.01,-0.06
201209,0.00,-0.38
201210,0.82,-0.52
201211,6.30,3.24
201212,8.09,3.38
201301,1.69,-3.47
201302,0.46,-4.20
201303,1.33,-2.19
201304,1.06,-0.62
201305,0.31,-0.54
201306,0.40,-0.01
201307,0.01,-0.02
201308,0.00,-0.07
201309,1.23,0.85
201310,0.02,-1.32
201311,0.87,-2.19
201312,0.21,-4.50
201401,0.22,-4.94
201402,5.93,1.27
201403,5.30,1.78
201404,1.36,-0.32
201405,0.25,-0.60
201406,0.00,-0.41
201407,0.00,-0.03
201408,0.24,0.17
201409,1.12,0.74
201410,0.49,-0.85
201411,3.04,-0.02
201412,13.73,9.02
201501,0.11,-5.05
201502,3.84,-0.82
201503,0.21,-3.31
201504,1.70,0.02
201505,0.25,-0.60
201506,0.07,-0.34
201507,0.18,0.15
201508,0.02,-0.05
201509,0.23,-0.15
201510,0.11,-1.23
201511,1.54,-1.52
201512,4.10,-0.61
201601,8.90,3.74
201602,0.70,-3.96
201603,7.06,3.54
201604,0.88,-0.80
201605,1.19,0.34
201606,0.45,0.04
201607,0.00,-0.03
201608,0.00,-0.07
201609,0.00,-0.38
201610,2.94,1.60
201611,3.00,-0.06
201612,4.49,-0.22
201701,10.50,5.34
201702,9.55,4.89
201703,2.52,-1.00
201704,2.67,0.99
201705,0.09,-0.76
201706,0.17,-0.24
201707,0.00,-0.03
201708,0.00,-0.07
201709,0.07,-0.31
201710,0.34,-1.00
201711,2.62,-0.44
201712,0.03,-4.68
201801,3.64,-1.52
201802,0.08,-4.58
201803,3.40,-0.12
201804,3.33,1.65
201805,0.27,-0.58
201806,0.01,-0.40
201807,0.00,-0.03
201808,0.00,-0.07
201809,0.03,-0.35
201810,1.06,-0.28
201811,4.45,1.39
201812,2.68,-2.03
201901,7.86,2.70
201902,14.32,9.66
201903,6.48,2.96
201904,0.49,-1.19
201905,2.79,1.94
201906,0.00,-0.41
201907,0.00,-0.03
201908,0.07,0.00
201909,0.38,0.00
201910,0.02,-1.32
201911,1.01,-2.05
201912,5.70,0.99
202001,1.72,-3.44
202002,0.00,-4.66
202003,1.07,-2.45
202004,0.62,-1.06
202005,1.57,0.72
202006,0.12,-0.29
202007,0.00,-0.03
202008,0.14,0.07
202009,0.00,-0.38
202010,0.01,-1.33
202011,0.57,-2.49
202012,1.40,-3.31
202101,3.40,-1.76
202102,0.82,-3.84
202103,1.91,-1.61
202104,0.26,-1.42
202105,0.02,-0.83
202106,0.07,-0.34
202107,0.00,-0.03
202108,0.00,-0.07
202109,0.18,-0.20
202110,6.14,4.80
202111,1.51,-1.55
202112,5.45,0.74
202201,0.28,-4.88
202202,0.01,-4.65
202203,1.04,-2.48
202204,0.79,-0.89
202205,0.20,-0.65
202206,0.50,0.09
202207,0.01,-0.02
202208,0.03,-0.04
202209,1.71,1.33
202210,0.00,-1.34
202211,2.12,-0.94
202212,5.61,0.90
202301,11.82,6.66
202302,2.76,-1.90
202303,8.74,5.22
