Modoc County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189501,5.03,2.33
189502,1.36,-0.85
189503,1.59,-0.44
189504,1.16,-0.32
189505,2.36,0.87
189506,0.03,-1.05
189507,0.27,-0.12
189508,0.47,0.13
189509,1.78,1.09
189510,0.07,-1.18
189511,1.11,-0.99
189512,2.72,0.39
189601,5.24,2.54
189602,0.95,-1.26
189603,3.44,1.41
189604,4.13,2.65
189605,3.25,1.76
189606,0.16,-0.92
189607,0.56,0.17
189608,0.71,0.37
189609,1.07,0.38
189610,0.93,-0.32
189611,6.72,4.62
189612,3.01,0.68
189701,0.97,-1.73
189702,3.90,1.69
189703,3.17,1.14
189704,1.18,-0.30
189705,1.10,-0.39
189706,1.95,0.87
189707,0.11,-0.28
189708,0.05,-0.29
189709,0.39,-0.30
189710,1.11,-0.14
189711,2.75,0.65
189712,2.94,0.61
189801,1.16,-1.54
189802,1.64,-0.57
189803,0.56,-1.47
189804,0.40,-1.08
189805,2.18,0.69
189806,1.14,0.06
189807,0.03,-0.36
189808,0.13,-0.21
189809,0.48,-0.21
189810,0.99,-0.26
189811,2.16,0.06
189812,1.41,-0.92
189901,2.67,-0.03
189902,1.61,-0.60
189903,4.16,2.13
189904,1.04,-0.44
189905,1.86,0.37
189906,0.23,-0.85
189907,0.64,0.25
189908,0.63,0.29
189909,0.04,-0.65
189910,4.26,3.01
189911,2.79,0.69
189912,2.57,0.24
190001,1.62,-1.08
190002,2.08,-0.13
190003,1.85,-0.18
190004,1.53,0.05
190005,1.00,-0.49
190006,0.50,-0.58
190007,0.22,-0.17
190008,0.24,-0.10
190009,0.81,0.12
190010,3.31,2.06
190011,3.08,0.98
190012,1.70,-0.63
190101,3.42,0.72
190102,3.22,1.01
190103,0.96,-1.07
190104,2.02,0.54
190105,0.83,-0.66
190106,0.19,-0.89
190107,0.00,-0.39
190108,0.88,0.54
190109,1.50,0.81
190110,1.62,0.37
190111,1.60,-0.50
190112,2.62,0.29
190201,1.10,-1.60
190202,4.28,2.07
190203,2.12,0.09
190204,2.12,0.64
190205,1.58,0.09
190206,0.17,-0.91
190207,1.13,0.74
190208,0.34,0.00
190209,0.40,-0.29
190210,0.91,-0.34
190211,2.42,0.32
190212,3.02,0.69
190301,4.36,1.66
190302,0.86,-1.35
190303,2.15,0.12
190304,0.33,-1.15
190305,0.67,-0.82
190306,2.03,0.95
190307,0.32,-0.07
190308,0.22,-0.12
190309,0.36,-0.33
190310,0.47,-0.78
190311,6.19,4.09
190312,0.95,-1.38
190401,1.64,-1.06
190402,7.69,5.48
190403,6.58,4.55
190404,2.40,0.92
190405,0.75,-0.74
190406,0.47,-0.61
190407,0.80,0.41
190408,0.14,-0.20
190409,1.03,0.34
190410,1.67,0.42
190411,0.79,-1.31
190412,3.14,0.81
190501,1.35,-1.35
190502,1.37,-0.84
190503,2.52,0.49
190504,0.63,-0.85
190505,1.79,0.30
190506,0.82,-0.26
190507,0.01,-0.38
190508,0.14,-0.20
190509,0.42,-0.27
190510,0.32,-0.93
190511,1.20,-0.90
190512,1.07,-1.26
190601,7.28,4.58
190602,2.02,-0.19
190603,4.23,2.20
190604,0.86,-0.62
190605,2.85,1.36
190606,1.29,0.21
190607,0.08,-0.31
190608,0.14,-0.20
190609,0.70,0.01
190610,0.34,-0.91
190611,1.73,-0.37
190612,5.55,3.22
190701,3.35,0.65
190702,4.98,2.77
190703,6.31,4.28
190704,0.75,-0.73
190705,1.72,0.23
190706,2.44,1.36
190707,0.30,-0.09
190708,0.61,0.27
190709,1.38,0.69
190710,2.20,0.95
190711,1.21,-0.89
190712,3.35,1.02
190801,1.76,-0.94
190802,1.17,-1.04
190803,0.66,-1.37
190804,0.55,-0.93
190805,1.94,0.45
190806,0.65,-0.43
190807,0.33,-0.06
190808,0.10,-0.24
190809,0.71,0.02
190810,2.79,1.54
190811,1.17,-0.93
190812,1.20,-1.13
190901,8.81,6.11
190902,3.55,1.34
190903,1.64,-0.39
190904,0.71,-0.77
190905,0.95,-0.54
190906,0.68,-0.40
190907,0.17,-0.22
190908,0.37,0.03
190909,0.94,0.25
190910,1.71,0.46
190911,4.21,2.11
190912,2.76,0.43
191001,2.56,-0.14
191002,2.54,0.33
191003,0.98,-1.05
191004,0.56,-0.92
191005,0.57,-0.92
191006,0.35,-0.73
191007,0.69,0.30
191008,0.00,-0.34
191009,1.46,0.77
191010,1.20,-0.05
191011,4.80,2.70
191012,3.32,0.99
191101,6.42,3.72
191102,1.46,-0.75
191103,1.94,-0.09
191104,1.86,0.38
191105,1.11,-0.38
191106,0.94,-0.14
191107,0.72,0.33
191108,0.00,-0.34
191109,0.75,0.06
191110,0.59,-0.66
191111,1.08,-1.02
191112,1.15,-1.18
191201,2.07,-0.63
191202,1.07,-1.14
191203,2.31,0.28
191204,2.51,1.03
191205,1.59,0.10
191206,1.24,0.16
191207,0.44,0.05
191208,0.38,0.04
191209,1.12,0.43
191210,0.50,-0.75
191211,1.65,-0.45
191212,1.55,-0.78
191301,2.99,0.29
191302,0.33,-1.88
191303,1.47,-0.56
191304,1.85,0.37
191305,0.86,-0.63
191306,2.81,1.73
191307,1.74,1.35
191308,0.65,0.31
191309,0.30,-0.39
191310,0.19,-1.06
191311,2.50,0.40
191312,4.00,1.67
191401,4.61,1.91
191402,1.21,-1.00
191403,0.47,-1.56
191404,1.96,0.48
191405,1.22,-0.27
191406,1.39,0.31
191407,0.21,-0.18
191408,0.04,-0.30
191409,0.38,-0.31
191410,2.44,1.19
191411,0.76,-1.34
191412,0.86,-1.47
191501,2.00,-0.70
191502,2.86,0.65
191503,1.17,-0.86
191504,1.64,0.16
191505,2.37,0.88
191506,0.20,-0.88
191507,1.04,0.65
191508,0.28,-0.06
191509,0.14,-0.55
191510,0.27,-0.98
191511,2.37,0.27
191512,1.15,-1.18
191601,6.50,3.80
191602,1.53,-0.68
191603,2.50,0.47
191604,0.97,-0.51
191605,2.29,0.80
191606,0.31,-0.77
191607,0.76,0.37
191608,0.44,0.10
191609,0.16,-0.53
191610,1.79,0.54
191611,1.13,-0.97
191612,1.78,-0.55
191701,2.30,-0.40
191702,4.79,2.58
191703,1.86,-0.17
191704,1.62,0.14
191705,1.64,0.15
191706,0.30,-0.78
191707,0.03,-0.36
191708,0.48,0.14
191709,0.43,-0.26
191710,0.00,-1.25
191711,2.03,-0.07
191712,0.82,-1.51
191801,1.35,-1.35
191802,2.18,-0.03
191803,3.51,1.48
191804,0.48,-1.00
191805,0.76,-0.73
191806,0.18,-0.90
191807,0.04,-0.35
191808,0.10,-0.24
191809,2.02,1.33
191810,1.70,0.45
191811,1.35,-0.75
191812,1.05,-1.28
191901,1.25,-1.45
191902,5.56,3.35
191903,1.87,-0.16
191904,1.23,-0.25
191905,0.06,-1.43
191906,0.07,-1.01
191907,0.04,-0.35
191908,0.03,-0.31
191909,1.72,1.03
191910,0.76,-0.49
191911,0.76,-1.34
191912,1.84,-0.49
192001,0.41,-2.29
192002,0.85,-1.36
192003,2.86,0.83
192004,2.20,0.72
192005,0.43,-1.06
192006,1.09,0.01
192007,0.37,-0.02
192008,1.29,0.95
192009,1.03,0.34
192010,1.55,0.30
192011,3.79,1.69
192012,3.11,0.78
192101,4.31,1.61
192102,1.77,-0.44
192103,1.28,-0.75
192104,0.58,-0.90
192105,2.17,0.68
192106,1.22,0.14
192107,0.02,-0.37
192108,0.03,-0.31
192109,0.12,-0.57
192110,0.49,-0.76
192111,1.77,-0.33
192112,2.37,0.04
192201,1.06,-1.64
192202,4.34,2.13
192203,1.64,-0.39
192204,0.65,-0.83
192205,1.50,0.01
192206,1.00,-0.08
192207,0.45,0.06
192208,0.49,0.15
192209,0.24,-0.45
192210,1.44,0.19
192211,1.43,-0.67
192212,3.69,1.36
192301,1.75,-0.95
192302,0.62,-1.59
192303,0.18,-1.85
192304,1.60,0.12
192305,1.20,-0.29
192306,2.67,1.59
192307,0.63,0.24
192308,0.40,0.06
192309,1.27,0.58
192310,1.90,0.65
192311,0.54,-1.56
192312,1.31,-1.02
192401,0.69,-2.01
192402,1.43,-0.78
192403,1.20,-0.83
192404,0.65,-0.83
192405,0.03,-1.46
192406,0.22,-0.86
192407,0.05,-0.34
192408,0.37,0.03
192409,0.32,-0.37
192410,2.55,1.30
192411,2.00,-0.10
192412,1.95,-0.38
192501,1.41,-1.29
192502,2.70,0.49
192503,1.15,-0.88
192504,1.66,0.18
192505,2.38,0.89
192506,1.35,0.27
192507,0.55,0.16
192508,0.52,0.18
192509,2.17,1.48
192510,1.45,0.20
192511,1.79,-0.31
192512,1.44,-0.89
192601,1.69,-1.01
192602,1.95,-0.26
192603,0.33,-1.70
192604,1.88,0.40
192605,1.37,-0.12
192606,0.00,-1.08
192607,0.33,-0.06
192608,0.13,-0.21
192609,0.16,-0.53
192610,0.76,-0.49
192611,5.60,3.50
192612,1.25,-1.08
192701,1.70,-1.00
192702,3.66,1.45
192703,1.81,-0.22
192704,1.89,0.41
192705,1.86,0.37
192706,0.66,-0.42
192707,0.09,-0.30
192708,0.05,-0.29
192709,0.79,0.10
192710,1.14,-0.11
192711,4.51,2.41
192712,1.03,-1.30
192801,1.51,-1.19
192802,1.21,-1.00
192803,4.16,2.13
192804,1.27,-0.21
192805,0.42,-1.07
192806,0.61,-0.47
192807,0.04,-0.35
192808,0.16,-0.18
192809,0.50,-0.19
192810,0.46,-0.79
192811,2.07,-0.03
192812,1.93,-0.40
192901,1.67,-1.03
192902,0.89,-1.32
192903,1.06,-0.97
192904,2.37,0.89
192905,0.18,-1.31
192906,2.13,1.05
192907,0.00,-0.39
192908,0.00,-0.34
192909,0.07,-0.62
192910,0.47,-0.78
192911,0.01,-2.09
192912,3.15,0.82
193001,3.73,1.03
193002,2.03,-0.18
193003,1.16,-0.87
193004,1.31,-0.17
193005,1.12,-0.37
193006,0.14,-0.94
193007,0.07,-0.32
193008,0.12,-0.22
193009,1.81,1.12
193010,0.50,-0.75
193011,1.36,-0.74
193012,0.31,-2.02
193101,1.05,-1.65
193102,1.14,-1.07
193103,1.85,-0.18
193104,0.49,-0.99
193105,0.63,-0.86
193106,1.43,0.35
193107,0.01,-0.38
193108,0.02,-0.32
193109,0.55,-0.14
193110,2.64,1.39
193111,1.61,-0.49
193112,3.96,1.63
193201,1.98,-0.72
193202,0.69,-1.52
193203,1.97,-0.06
193204,2.22,0.74
193205,1.43,-0.06
193206,0.42,-0.66
193207,0.07,-0.32
193208,0.01,-0.33
193209,0.00,-0.69
193210,0.26,-0.99
193211,0.75,-1.35
193212,1.54,-0.79
193301,2.15,-0.55
193302,0.60,-1.61
193303,1.43,-0.60
193304,1.51,0.03
193305,1.48,-0.01
193306,0.38,-0.70
193307,0.29,-0.10
193308,0.09,-0.25
193309,0.44,-0.25
193310,1.51,0.26
193311,0.01,-2.09
193312,1.67,-0.66
193401,1.26,-1.44
193402,1.75,-0.46
193403,1.49,-0.54
193404,0.77,-0.71
193405,1.79,0.30
193406,1.55,0.47
193407,0.03,-0.36
193408,0.14,-0.20
193409,0.64,-0.05
193410,0.91,-0.34
193411,3.60,1.50
193412,1.79,-0.54
193501,2.59,-0.11
193502,1.54,-0.67
193503,1.87,-0.16
193504,4.25,2.77
193505,0.91,-0.58
193506,0.26,-0.82
193507,0.27,-0.12
193508,0.01,-0.33
193509,0.10,-0.59
193510,1.37,0.12
193511,0.63,-1.47
193512,1.97,-0.36
193601,6.15,3.45
193602,3.39,1.18
193603,1.16,-0.87
193604,0.98,-0.50
193605,1.21,-0.28
193606,0.83,-0.25
193607,0.18,-0.21
193608,0.17,-0.17
193609,0.56,-0.13
193610,0.01,-1.24
193611,0.01,-2.09
193612,1.18,-1.15
193701,1.39,-1.31
193702,2.99,0.78
193703,2.29,0.26
193704,1.67,0.19
193705,0.49,-1.00
193706,1.31,0.23
193707,0.38,-0.01
193708,0.01,-0.33
193709,0.16,-0.53
193710,1.93,0.68
193711,4.49,2.39
193712,5.77,3.44
193801,2.04,-0.66
193802,3.54,1.33
193803,4.50,2.47
193804,1.61,0.13
193805,0.76,-0.73
193806,0.62,-0.46
193807,0.92,0.53
193808,0.04,-0.30
193809,0.56,-0.13
193810,1.75,0.50
193811,1.56,-0.54
193812,0.48,-1.85
193901,1.70,-1.00
193902,1.09,-1.12
193903,1.44,-0.59
193904,0.31,-1.17
193905,0.88,-0.61
193906,0.54,-0.54
193907,0.97,0.58
193908,0.08,-0.26
193909,0.79,0.10
193910,1.99,0.74
193911,0.04,-2.06
193912,3.49,1.16
194001,3.18,0.48
194002,4.89,2.68
194003,3.31,1.28
194004,1.31,-0.17
194005,0.51,-0.98
194006,0.19,-0.89
194007,0.01,-0.38
194008,0.01,-0.33
194009,2.04,1.35
194010,2.38,1.13
194011,1.80,-0.30
194012,3.11,0.78
194101,2.74,0.04
194102,3.76,1.55
194103,0.90,-1.13
194104,1.07,-0.41
194105,2.32,0.83
194106,1.54,0.46
194107,0.63,0.24
194108,1.23,0.89
194109,0.51,-0.18
194110,1.52,0.27
194111,1.94,-0.16
194112,4.59,2.26
194201,3.39,0.69
194202,2.76,0.55
194203,0.75,-1.28
194204,2.15,0.67
194205,2.49,1.00
194206,0.84,-0.24
194207,0.01,-0.38
194208,0.35,0.01
194209,0.28,-0.41
194210,0.33,-0.92
194211,3.55,1.45
194212,3.15,0.82
194301,5.58,2.88
194302,2.31,0.10
194303,1.99,-0.04
194304,2.59,1.11
194305,1.09,-0.40
194306,1.61,0.53
194307,0.24,-0.15
194308,0.03,-0.31
194309,0.07,-0.62
194310,1.64,0.39
194311,0.66,-1.44
194312,0.81,-1.52
194401,1.51,-1.19
194402,1.66,-0.55
194403,1.15,-0.88
194404,2.14,0.66
194405,0.44,-1.05
194406,3.00,1.92
194407,0.78,0.39
194408,0.05,-0.29
194409,0.57,-0.12
194410,0.68,-0.57
194411,3.71,1.61
194412,1.03,-1.30
194501,1.00,-1.70
194502,3.09,0.88
194503,1.77,-0.26
194504,0.81,-0.67
194505,4.18,2.69
194506,1.64,0.56
194507,0.20,-0.19
194508,0.15,-0.19
194509,0.28,-0.41
194510,2.47,1.22
194511,2.56,0.46
194512,2.43,0.10
194601,1.63,-1.07
194602,1.21,-1.00
194603,1.79,-0.24
194604,0.65,-0.83
194605,0.86,-0.63
194606,0.51,-0.57
194607,1.03,0.64
194608,0.11,-0.23
194609,0.15,-0.54
194610,1.03,-0.22
194611,2.37,0.27
194612,1.75,-0.58
194701,0.78,-1.92
194702,1.35,-0.86
194703,1.73,-0.30
194704,0.81,-0.67
194705,1.36,-0.13
194706,1.87,0.79
194707,0.14,-0.25
194708,0.35,0.01
194709,0.38,-0.31
194710,2.48,1.23
194711,1.50,-0.60
194712,0.99,-1.34
194801,2.15,-0.55
194802,0.92,-1.29
194803,2.61,0.58
194804,3.12,1.64
194805,2.46,0.97
194806,2.71,1.63
194807,0.30,-0.09
194808,0.20,-0.14
194809,1.02,0.33
194810,0.93,-0.32
194811,1.34,-0.76
194812,3.16,0.83
194901,0.91,-1.79
194902,1.94,-0.27
194903,1.55,-0.48
194904,0.55,-0.93
194905,3.74,2.25
194906,0.53,-0.55
194907,0.09,-0.30
194908,0.32,-0.02
194909,0.23,-0.46
194910,0.73,-0.52
194911,1.41,-0.69
194912,1.00,-1.33
195001,4.03,1.33
195002,1.14,-1.07
195003,3.14,1.11
195004,0.83,-0.65
195005,1.03,-0.46
195006,1.91,0.83
195007,0.00,-0.39
195008,0.35,0.01
195009,0.81,0.12
195010,2.41,1.16
195011,2.46,0.36
195012,2.32,-0.01
195101,2.64,-0.06
195102,2.40,0.19
195103,0.92,-1.11
195104,1.52,0.04
195105,2.05,0.56
195106,0.16,-0.92
195107,0.00,-0.39
195108,0.31,-0.03
195109,0.16,-0.53
195110,2.31,1.06
195111,1.77,-0.33
195112,4.71,2.38
195201,4.08,1.38
195202,3.88,1.67
195203,2.39,0.36
195204,0.99,-0.49
195205,1.05,-0.44
195206,3.00,1.92
195207,1.34,0.95
195208,0.06,-0.28
195209,1.39,0.70
195210,0.19,-1.06
195211,1.08,-1.02
195212,3.44,1.11
195301,3.62,0.92
195302,1.31,-0.90
195303,1.67,-0.36
195304,1.39,-0.09
195305,3.33,1.84
195306,1.96,0.88
195307,0.00,-0.39
195308,0.55,0.21
195309,0.10,-0.59
195310,1.05,-0.20
195311,2.67,0.57
195312,1.58,-0.75
195401,2.82,0.12
195402,1.59,-0.62
195403,2.34,0.31
195404,1.24,-0.24
195405,0.53,-0.96
195406,1.90,0.82
195407,0.18,-0.21
195408,0.48,0.14
195409,0.15,-0.54
195410,0.36,-0.89
195411,1.69,-0.41
195412,2.09,-0.24
195501,0.98,-1.72
195502,1.07,-1.14
195503,1.17,-0.86
195504,2.17,0.69
195505,0.49,-1.00
195506,0.64,-0.44
195507,0.59,0.20
195508,0.01,-0.33
195509,0.83,0.14
195510,0.52,-0.73
195511,2.73,0.63
195512,6.27,3.94
195601,5.32,2.62
195602,2.61,0.40
195603,0.71,-1.32
195604,0.96,-0.52
195605,1.78,0.29
195606,1.12,0.04
195607,0.95,0.56
195608,0.15,-0.19
195609,0.50,-0.19
195610,3.54,2.29
195611,0.28,-1.82
195612,1.63,-0.70
195701,1.61,-1.09
195702,2.88,0.67
195703,3.19,1.16
195704,1.51,0.03
195705,2.16,0.67
195706,0.20,-0.88
195707,0.16,-0.23
195708,0.01,-0.33
195709,1.53,0.84
195710,2.56,1.31
195711,3.16,1.06
195712,2.73,0.40
195801,2.73,0.03
195802,3.31,1.10
195803,2.03,0.00
195804,0.91,-0.57
195805,1.36,-0.13
195806,2.77,1.69
195807,1.47,1.08
195808,0.62,0.28
195809,0.69,0.00
195810,0.73,-0.52
