Placer County, California, Precipitation
195811,1.89,-3.46
195812,2.04,-5.28
195901,9.45,0.74
195902,9.80,1.88
195903,2.09,-4.69
195904,1.89,-1.63
195905,1.67,-0.34
195906,0.00,-0.71
195907,0.00,-0.09
195908,0.14,-0.01
195909,2.84,2.13
195910,0.01,-2.48
195911,0.00,-5.35
195912,2.61,-4.71
196001,8.83,0.12
196002,11.00,3.08
196003,7.60,0.82
196004,2.53,-0.99
196005,1.46,-0.55
196006,0.00,-0.71
196007,0.11,0.02
196008,0.01,-0.14
196009,0.11,-0.60
196010,0.65,-1.84
196011,7.91,2.56
196012,3.02,-4.30
196101,2.56,-6.15
196102,4.45,-3.47
196103,6.37,-0.41
196104,2.96,-0.56
196105,2.26,0.25
196106,0.56,-0.15
196107,0.12,0.03
196108,0.30,0.15
196109,0.53,-0.18
196110,1.81,-0.68
196111,4.12,-1.23
196112,3.47,-3.85
196201,3.73,-4.98
196202,17.50,9.58
196203,6.76,-0.02
196204,1.75,-1.77
196205,1.17,-0.84
196206,0.06,-0.65
196207,0.21,0.12
196208,0.25,0.10
196209,0.16,-0.55
196210,12.94,10.45
196211,2.34,-3.01
196212,5.37,-1.95
196301,7.12,-1.59
196302,7.58,-0.34
196303,7.56,0.78
196304,10.71,7.19
196305,3.13,1.12
196306,1.11,0.40
196307,0.00,-0.09
196308,0.07,-0.08
196309,0.87,0.16
196310,3.24,0.75
196311,11.40,6.05
196312,1.12,-6.20
196401,7.86,-0.85
196402,0.72,-7.20
196403,3.94,-2.84
196404,1.73,-1.79
196405,3.70,1.69
196406,1.34,0.63
196407,0.09,0.00
196408,0.20,0.05
196409,0.06,-0.65
196410,1.72,-0.77
196411,8.21,2.86
196412,25.46,18.14
196501,9.57,0.86
196502,1.58,-6.34
196503,3.01,-3.77
196504,6.29,2.77
196505,0.43,-1.58
196506,0.64,-0.07
196507,0.18,0.09
196508,1.04,0.89
196509,0.45,-0.26
196510,0.61,-1.88
196511,9.43,4.08
196512,7.22,-0.10
196601,4.21,-4.50
196602,3.54,-4.38
196603,2.25,-4.53
196604,2.17,-1.35
196605,0.80,-1.21
196606,0.08,-0.63
196607,0.11,0.02
196608,0.05,-0.10
196609,0.15,-0.56
196610,0.02,-2.47
196611,11.60,6.25
196612,9.26,1.94
196701,15.30,6.59
196702,0.87,-7.05
196703,12.07,5.29
196704,8.72,5.20
196705,1.59,-0.42
196706,2.11,1.40
196707,0.05,-0.04
196708,0.20,0.05
196709,0.66,-0.05
196710,1.98,-0.51
196711,4.08,-1.27
196712,5.57,-1.75
196801,8.14,-0.57
196802,7.07,-0.85
196803,4.77,-2.01
196804,0.58,-2.94
196805,1.29,-0.72
196806,0.56,-0.15
196807,0.12,0.03
196808,0.83,0.68
196809,0.14,-0.57
196810,2.87,0.38
196811,7.12,1.77
196812,9.69,2.37
196901,23.86,15.15
196902,12.84,4.92
196903,2.78,-4.00
196904,4.00,0.48
196905,0.22,-1.79
196906,1.23,0.52
196907,0.12,0.03
196908,0.00,-0.15
196909,0.08,-0.63
196910,3.52,1.03
196911,2.62,-2.73
196912,12.58,5.26
197001,20.26,11.55
197002,3.58,-4.34
197003,4.10,-2.68
197004,1.99,-1.53
197005,0.21,-1.80
197006,1.71,1.00
197007,0.01,-0.08
197008,0.01,-0.14
197009,0.08,-0.63
197010,2.45,-0.04
197011,13.37,8.02
197012,13.35,6.03
197101,4.67,-4.04
197102,1.18,-6.74
197103,8.12,1.34
197104,2.51,-1.01
197105,2.76,0.75
197106,1.07,0.36
197107,0.10,0.01
197108,0.14,-0.01
197109,0.83,0.12
197110,1.15,-1.34
197111,4.63,-0.72
197112,11.01,3.69
197201,3.24,-5.47
197202,5.35,-2.57
197203,1.95,-4.83
197204,4.57,1.05
197205,0.98,-1.03
197206,0.63,-0.08
197207,0.00,-0.09
197208,0.11,-0.04
197209,2.18,1.47
197210,3.10,0.61
197211,8.23,2.88
197212,6.86,-0.46
197301,14.91,6.20
197302,9.61,1.69
197303,5.04,-1.74
197304,0.96,-2.56
197305,0.91,-1.10
197306,0.21,-0.50
197307,0.06,-0.03
197308,0.31,0.16
197309,1.17,0.46
197310,3.57,1.08
197311,15.79,10.44
197312,10.47,3.15
197401,8.73,0.02
197402,3.61,-4.31
197403,12.32,5.54
197404,4.00,0.48
197405,0.12,-1.89
197406,0.39,-0.32
197407,0.45,0.36
197408,0.15,0.00
197409,0.00,-0.71
197410,2.62,0.13
197411,2.86,-2.49
197412,4.22,-3.10
197501,3.82,-4.89
197502,12.90,4.98
197503,11.11,4.33
197504,4.81,1.29
197505,0.87,-1.14
197506,0.51,-0.20
197507,0.09,0.00
197508,0.82,0.67
197509,0.28,-0.43
197510,7.33,4.84
197511,2.56,-2.79
197512,1.67,-5.65
197601,0.95,-7.76
197602,4.12,-3.80
197603,2.77,-4.01
197604,2.10,-1.42
197605,0.17,-1.84
197606,0.24,-0.47
197607,0.09,0.00
197608,1.02,0.87
197609,1.48,0.77
197610,0.65,-1.84
197611,1.67,-3.68
197612,0.39,-6.93
197701,3.09,-5.62
197702,3.35,-4.57
197703,2.62,-4.16
197704,0.40,-3.12
197705,4.09,2.08
197706,0.38,-0.33
197707,0.10,0.01
197708,0.25,0.10
197709,0.69,-0.02
197710,0.38,-2.11
197711,4.74,-0.61
197712,11.62,4.30
197801,14.99,6.28
197802,7.31,-0.61
197803,8.39,1.61
197804,7.07,3.55
197805,0.92,-1.09
197806,0.23,-0.48
197807,0.06,-0.03
197808,0.10,-0.05
197809,2.50,1.79
197810,0.12,-2.37
197811,4.52,-0.83
197812,2.97,-4.35
197901,9.14,0.43
197902,9.77,1.85
197903,5.90,-0.88
197904,3.56,0.04
197905,2.17,0.16
197906,0.11,-0.60
197907,0.31,0.22
197908,0.21,0.06
197909,0.08,-0.63
197910,5.16,2.67
197911,4.29,-1.06
197912,7.79,0.47
198001,16.45,7.74
198002,13.98,6.06
198003,5.20,-1.58
198004,3.12,-0.40
198005,2.16,0.15
198006,0.46,-0.25
198007,0.37,0.28
198008,0.07,-0.08
198009,0.23,-0.48
198010,1.18,-1.31
198011,1.61,-3.74
198012,3.66,-3.66
198101,9.22,0.51
198102,3.23,-4.69
198103,7.21,0.43
198104,1.66,-1.86
198105,2.14,0.13
198106,0.07,-0.64
198107,0.01,-0.08
198108,0.01,-0.14
198109,0.84,0.13
198110,5.97,3.48
198111,16.75,11.40
198112,14.06,6.74
198201,10.17,1.46
198202,7.66,-0.26
198203,12.65,5.87
198204,9.39,5.87
198205,0.44,-1.57
198206,1.14,0.43
198207,0.14,0.05
198208,0.13,-0.02
198209,3.72,3.01
198210,7.91,5.42
198211,10.67,5.32
198212,9.86,2.54
198301,9.58,0.87
198302,12.92,5.00
198303,15.77,8.99
198304,7.21,3.69
198305,1.26,-0.75
198306,0.57,-0.14
198307,0.17,0.08
198308,0.66,0.51
198309,1.67,0.96
198310,2.78,0.29
198311,18.30,12.95
198312,14.82,7.50
198401,0.85,-7.86
198402,6.20,-1.72
198403,3.76,-3.02
198404,3.08,-0.44
198405,1.03,-0.98
198406,1.22,0.51
198407,0.16,0.07
198408,0.26,0.11
198409,0.26,-0.45
198410,4.03,1.54
198411,11.94,6.59
198412,2.45,-4.87
198501,1.28,-7.43
198502,4.67,-3.25
198503,7.83,1.05
198504,0.68,-2.84
198505,0.08,-1.93
198506,0.39,-0.32
198507,0.13,0.04
198508,0.19,0.04
198509,1.95,1.24
198510,1.90,-0.59
198511,9.19,3.84
198512,5.01,-2.31
198601,7.27,-1.44
198602,24.76,16.84
198603,9.21,2.43
198604,1.83,-1.69
198605,1.41,-0.60
198606,0.16,-0.55
198607,0.13,0.04
198608,0.01,-0.14
198609,3.37,2.66
198610,0.43,-2.06
198611,0.82,-4.53
198612,1.47,-5.85
198701,5.09,-3.62
198702,6.34,-1.58
198703,6.58,-0.20
198704,0.75,-2.77
198705,0.98,-1.03
198706,0.32,-0.39
198707,0.07,-0.02
198708,0.00,-0.15
198709,0.01,-0.70
198710,1.60,-0.89
198711,3.37,-1.98
198712,8.80,1.48
198801,6.86,-1.85
198802,0.64,-7.28
198803,1.08,-5.70
198804,3.67,0.15
198805,1.83,-0.18
198806,0.89,0.18
198807,0.12,0.03
198808,0.04,-0.11
198809,0.11,-0.60
198810,0.11,-2.38
198811,11.14,5.79
198812,5.96,-1.36
198901,2.81,-5.90
198902,4.19,-3.73
198903,15.98,9.20
198904,2.29,-1.23
198905,1.24,-0.77
198906,1.10,0.39
198907,0.02,-0.07
198908,0.79,0.64
198909,3.02,2.31
198910,5.11,2.62
198911,3.89,-1.46
198912,0.07,-7.25
199001,6.79,-1.92
199002,5.69,-2.23
199003,2.73,-4.05
199004,2.32,-1.20
199005,4.80,2.79
199006,0.25,-0.46
199007,0.23,0.14
199008,0.25,0.10
199009,0.64,-0.07
199010,0.84,-1.65
199011,1.50,-3.85
199012,2.06,-5.26
199101,0.69,-8.02
199102,3.24,-4.68
199103,18.31,11.53
199104,1.77,-1.75
199105,2.85,0.84
199106,1.26,0.55
199107,0.15,0.06
199108,0.59,0.44
199109,0.31,-0.40
199110,4.10,1.61
199111,2.97,-2.38
199112,3.41,-3.91
199201,2.30,-6.41
199202,9.85,1.93
199203,4.07,-2.71
199204,1.71,-1.81
199205,0.28,-1.73
199206,1.75,1.04
199207,0.21,0.12
199208,0.16,0.01
199209,0.17,-0.54
199210,4.44,1.95
199211,0.75,-4.60
199212,14.58,7.26
199301,14.56,5.85
199302,10.84,2.92
199303,6.16,-0.62
199304,2.51,-1.01
199305,2.65,0.64
199306,1.97,1.26
199307,0.02,-0.07
199308,0.13,-0.02
199309,0.04,-0.67
199310,2.28,-0.21
199311,3.26,-2.09
199312,4.85,-2.47
199401,2.52,-6.19
199402,8.05,0.13
199403,1.56,-5.22
199404,2.31,-1.21
199405,2.31,0.30
199406,0.09,-0.62
199407,0.01,-0.08
199408,0.00,-0.15
199409,0.63,-0.08
199410,1.21,-1.28
199411,10.60,5.25
199412,7.30,-0.02
199501,20.81,12.10
199502,1.57,-6.35
199503,21.30,14.52
199504,6.91,3.39
199505,5.20,3.19
199506,1.87,1.16
199507,0.09,0.00
199508,0.01,-0.14
199509,0.01,-0.70
199510,0.01,-2.48
199511,0.69,-4.66
199512,11.18,3.86
199601,12.59,3.88
199602,13.29,5.37
199603,6.65,-0.13
199604,5.44,1.92
199605,6.63,4.62
199606,0.46,-0.25
199607,0.15,0.06
199608,0.16,0.01
199609,0.55,-0.16
199610,2.33,-0.16
199611,7.68,2.33
199612,24.33,17.01
199701,21.13,12.42
199702,1.24,-6.68
199703,1.47,-5.31
199704,1.91,-1.61
199705,0.82,-1.19
199706,1.89,1.18
199707,0.10,0.01
199708,0.38,0.23
199709,0.43,-0.28
199710,2.67,0.18
199711,6.29,0.94
199712,4.40,-2.92
199801,14.37,5.66
199802,17.33,9.41
199803,6.88,0.10
199804,4.96,1.44
199805,6.16,4.15
199806,1.28,0.57
199807,0.10,0.01
199808,0.14,-0.01
199809,2.15,1.44
199810,1.27,-1.22
199811,9.30,3.95
199812,3.77,-3.55
199901,10.32,1.61
199902,14.13,6.21
199903,4.18,-2.60
199904,3.71,0.19
199905,1.22,-0.79
199906,0.44,-0.27
199907,0.05,-0.04
199908,0.41,0.26
199909,0.13,-0.58
199910,2.00,-0.49
199911,4.31,-1.04
199912,1.24,-6.08
200001,13.47,4.76
200002,16.02,8.10
200003,2.67,-4.11
200004,2.55,-0.97
200005,3.40,1.39
200006,0.60,-0.11
200007,0.01,-0.08
200008,0.06,-0.09
200009,1.08,0.37
200010,4.54,2.05
200011,1.94,-3.41
200012,2.02,-5.30
200101,4.38,-4.33
200102,6.82,-1.10
200103,3.12,-3.66
200104,4.41,0.89
200105,0.16,-1.85
200106,0.15,-0.56
200107,0.05,-0.04
200108,0.01,-0.14
200109,0.57,-0.14
200110,1.22,-1.27
200111,7.77,2.42
200112,12.57,5.25
200201,4.95,-3.76
200202,3.65,-4.27
200203,7.06,0.28
200204,2.19,-1.33
200205,1.79,-0.22
200206,0.01,-0.70
200207,0.07,-0.02
200208,0.03,-0.12
200209,0.05,-0.66
200210,0.05,-2.44
200211,6.48,1.13
200212,14.32,7.00
200301,3.27,-5.44
200302,2.84,-5.08
200303,4.65,-2.13
200304,9.27,5.75
200305,2.02,0.01
200306,0.12,-0.59
200307,0.14,0.05
200308,0.89,0.74
200309,0.17,-0.54
200310,0.51,-1.98
200311,3.36,-1.99
200312,12.60,5.28
200401,4.32,-4.39
200402,9.98,2.06
200403,1.71,-5.07
200404,0.99,-2.53
200405,0.94,-1.07
200406,0.14,-0.57
200407,0.02,-0.07
200408,0.05,-0.10
200409,0.29,-0.42
200410,6.74,4.25
200411,4.09,-1.26
200412,8.86,1.54
200501,8.91,0.20
200502,4.53,-3.39
200503,8.72,1.94
200504,3.28,-0.24
200505,6.42,4.41
200506,1.91,1.20
200507,0.02,-0.07
200508,0.12,-0.03
200509,0.57,-0.14
200510,1.40,-1.09
200511,3.85,-1.50
200512,23.47,16.15
200601,8.61,-0.10
200602,6.39,-1.53
200603,11.57,4.79
200604,10.80,7.28
200605,1.25,-0.76
200606,0.21,-0.50
200607,0.05,-0.04
200608,0.02,-0.13
200609,0.05,-0.66
200610,0.68,-1.81
200611,4.39,-0.96
200612,5.89,-1.43
200701,1.69,-7.02
200702,11.40,3.48
200703,1.51,-5.27
200704,3.13,-0.39
200705,1.11,-0.90
200706,0.33,-0.38
200707,0.03,-0.06
200708,0.06,-0.09
200709,1.02,0.31
200710,3.14,0.65
200711,1.38,-3.97
200712,6.44,-0.88
200801,12.52,3.81
200802,5.94,-1.98
200803,1.47,-5.31
200804,0.42,-3.10
200805,1.07,-0.94
200806,0.00,-0.71
200807,0.02,-0.07
200808,0.00,-0.15
200809,0.01,-0.70
200810,1.70,-0.79
200811,4.52,-0.83
200812,6.03,-1.29
200901,3.60,-5.11
200902,8.41,0.49
200903,7.02,0.24
200904,1.65,-1.87
200905,4.51,2.50
200906,0.81,0.10
200907,0.05,-0.04
200908,0.12,-0.03
200909,0.07,-0.64
200910,4.22,1.73
200911,1.75,-3.60
200912,6.83,-0.49
201001,8.66,-0.05
201002,5.79,-2.13
201003,5.38,-1.40
201004,7.23,3.71
201005,3.36,1.35
201006,0.29,-0.42
201007,0.02,-0.07
201008,0.10,-0.05
201009,0.03,-0.68
201010,8.07,5.58
201011,7.32,1.97
201012,15.49,8.17
201101,2.04,-6.67
201102,6.59,-1.33
201103,16.05,9.27
201104,2.89,-0.63
201105,3.52,1.51
201106,2.71,2.00
201107,0.09,0.00
201108,0.03,-0.12
201109,0.40,-0.31
201110,3.48,0.99
201111,2.19,-3.16
201112,0.15,-7.17
201201,6.86,-1.85
201202,2.85,-5.07
201203,12.07,5.29
201204,5.72,2.20
201205,0.47,-1.54
201206,0.78,0.07
201207,0.20,0.11
201208,0.20,0.05
201209,0.11,-0.60
201210,2.48,-0.01
201211,9.74,4.39
201212,13.49,6.17
201301,1.23,-7.48
201302,0.59,-7.33
201303,3.14,-3.64
201304,1.33,-2.19
201305,1.75,-0.26
201306,1.45,0.74
201307,0.05,-0.04
201308,0.06,-0.09
201309,1.50,0.79
201310,0.80,-1.69
201311,1.58,-3.77
201312,1.12,-6.20
201401,2.26,-6.45
201402,11.55,3.63
201403,6.33,-0.45
201404,2.53,-0.99
201405,1.21,-0.80
201406,0.01,-0.70
201407,0.23,0.14
201408,0.47,0.32
201409,1.33,0.62
201410,1.35,-1.14
201411,4.13,-1.22
201412,10.63,3.31
201501,0.12,-8.59
201502,6.73,-1.19
201503,0.75,-6.03
201504,3.23,-0.29
201505,1.93,-0.08
201506,0.77,0.06
201507,0.30,0.21
201508,0.06,-0.09
201509,0.15,-0.56
201510,1.83,-0.66
201511,4.98,-0.37
201512,10.15,2.83
201601,12.37,3.66
201602,2.12,-5.80
201603,12.08,5.30
201604,3.40,-0.12
201605,2.18,0.17
201606,0.08,-0.63
201607,0.00,-0.09
201608,0.04,-0.11
201609,0.06,-0.65
201610,10.95,8.46
201611,4.25,-1.10
201612,9.75,2.43
201701,25.03,16.32
201702,21.21,13.29
201703,6.08,-0.70
201704,7.91,4.39
201705,1.08,-0.93
201706,0.56,-0.15
201707,0.01,-0.08
201708,0.27,0.12
201709,0.91,0.20
201710,0.85,-1.64
201711,11.12,5.77
201712,0.81,-6.51
201801,7.27,-1.44
201802,1.36,-6.56
201803,15.13,8.35
201804,5.05,1.53
201805,2.13,0.12
201806,0.06,-0.65
201807,0.09,0.00
201808,0.01,-0.14
201809,0.02,-0.69
201810,0.90,-1.59
201811,6.30,0.95
201812,4.10,-3.22
201901,11.64,2.93
201902,20.49,12.57
201903,7.68,0.90
201904,2.71,-0.81
201905,5.48,3.47
201906,0.23,-0.48
201907,0.03,-0.06
201908,0.01,-0.14
201909,1.72,1.01
201910,0.13,-2.36
201911,2.09,-3.26
201912,9.61,2.29
202001,3.79,-4.92
202002,0.13,-7.79
202003,6.63,-0.15
202004,3.52,0.00
202005,2.50,0.49
202006,0.27,-0.44
202007,0.06,-0.03
202008,0.07,-0.08
202009,0.01,-0.70
202010,0.02,-2.47
202011,4.11,-1.24
202012,3.84,-3.48
202101,5.65,-3.06
202102,3.60,-4.32
202103,3.45,-3.33
202104,0.59,-2.93
202105,0.51,-1.50
202106,0.05,-0.66
202107,0.09,0.00
202108,0.03,-0.12
202109,0.57,-0.14
202110,12.55,10.06
202111,2.01,-3.34
202112,15.24,7.92
202201,0.68,-8.03
202202,0.69,-7.23
202203,1.41,-5.37
202204,5.80,2.28
202205,0.67,-1.34
202206,1.02,0.31
202207,0.01,-0.08
202208,0.24,0.09
202209,1.54,0.83
202210,0.09,-2.40
202211,4.20,-1.15
202212,19.16,11.84
202301,15.71,7.00
202302,7.72,-0.20
202303,13.82,7.04
